product_key,department_tag,category_tag,subcategory_tag,market_key,Geography,Description,Time Period,Time Period End Date,UPC,Department,Category,Subcategory,Brand,Product Universe,Product Level,Attributes
PRD567890,food_and_beverage,dairy,butter,MKT4567,Virginia,"Organic Valley Organic Butter Unsalted 16oz",2024-Q2,2024-07-03,178901234567,Food & Beverage,Dairy,Butter,Organic Valley,Organic,SKU,"Organic, Grass-Fed"
PRD234901,food_and_beverage,beverages,juice,MKT7890,Washington,"Simply Organic Orange Juice No Pulp 64oz",2024-Q3,2024-09-07,189012345678,Food & Beverage,Beverages,Juice,Simply Organic,Natural,Item,"Natural, Vitamin C"
PRD678345,health_and_beauty,personal_care,conditioner,MKT1234,Arizona,"Alba Botanica Moisturizing Conditioner 16oz",2024-Q1,2024-04-12,190123456789,Health & Beauty,Personal Care,Conditioner,Alba Botanica,Natural,SKU,"Natural, Sulfate-Free"
PRD901456,household,cleaning,trash_bags,MKT5678,Massachusetts,"Method Kitchen Trash Bags 80ct",2024-Q2,2024-06-25,201234567890,Household,Cleaning,Trash Bags,Method,Premium,Brand,"Strong, Eco-Friendly"
PRD345789,food_and_beverage,snacks,crackers,MKT8901,Tennessee,"Kashi Whole Grain Crackers 7oz",2024-Q3,2024-08-19,212345678901,Food & Beverage,Snacks,Crackers,Kashi,Natural,Item,"Whole Grain, High Fiber"
PRD789012,baby_and_child,baby_food,snacks,MKT2345,Indiana,"Happy Family Baby Puffs 1.48oz",2024-Q1,2024-05-08,223456789012,Baby & Child,Baby Food,Snacks,Happy Family,Organic,SKU,"Organic, Dissolves Easily"
PRD456123,pet_care,dog_food,treats,MKT6789,Missouri,"Merrick Training Treats 5oz",2024-Q4,2024-12-15,234567890123,Pet Care,Dog Food,Treats,Merrick,Premium,Item,"Natural, Real Meat"
PRD123456,food_and_beverage,dairy,milk,MKT9012,Maryland,"Horizon Almond Milk Unsweetened 32oz",2024-Q2,2024-07-12,245678901234,Food & Beverage,Dairy,Milk,Horizon,Natural,SKU,"Dairy-Free, Unsweetened"
PRD567789,food_and_beverage,beverages,water,MKT3456,West Coast,"Whole Foods 365 Spring Water 24pk",2024-Q3,2024-09-01,256789012345,Food & Beverage,Beverages,Water,Whole Foods 365,Private Label,Brand,"Pure, BPA-Free"
PRD890123,health_and_beauty,oral_care,mouthwash,MKT6789,East Coast,"Tom's of Maine Antiseptic Mouthwash 32oz",2024-Q1,2024-04-28,267890123456,Health & Beauty,Oral Care,Mouthwash,Tom's of Maine,Natural,Item,"Natural, Fluoride-Free"
PRD234567,food_and_beverage,pantry,rice,MKT0123,Southwest,"Bob's Red Mill Brown Rice Organic 2lb",2024-Q2,2024-06-20,278901234567,Food & Beverage,Pantry,Rice,Bob's Red Mill,Organic,SKU,"Organic, Whole Grain"
PRD678234,household,cleaning,detergent,MKT4567,Southeast,"Mrs. Meyer's Dish Soap 20oz",2024-Q3,2024-08-05,289012345678,Household,Cleaning,Detergent,Mrs. Meyer's,Natural,Item,"Natural, Plant-Based"
PRD901567,baby_and_child,diapers,wipes,MKT7890,California,"Babyganics Baby Wipes 320ct",2024-Q1,2024-05-15,290123456789,Baby & Child,Diapers,Wipes,Babyganics,Natural,SKU,"Natural, Hypoallergenic"
PRD345890,pet_care,cat_food,dry_food,MKT1234,New York,"Hill's Cat Food 16lb",2024-Q4,2024-11-30,301234567890,Pet Care,Cat Food,Dry Food,Hill's,Premium,Brand,"Balanced Nutrition, Vet Recommended"
PRD789345,food_and_beverage,dairy,cheese,MKT5678,Texas,"Annie's Organic String Cheese 12ct",2024-Q2,2024-07-18,312345678901,Food & Beverage,Dairy,Cheese,Annie's,Organic,Item,"Organic, Individual Wrapped"
PRD456678,food_and_beverage,beverages,coffee,MKT8901,Florida,"Nature's Path Cold Brew Concentrate 32oz",2024-Q3,2024-09-12,323456789012,Food & Beverage,Beverages,Coffee,Nature's Path,Organic,SKU,"Organic, Smooth"
PRD123901,health_and_beauty,personal_care,lotion,MKT2345,Illinois,"Burt's Bees Daily Moisturizer 8oz",2024-Q1,2024-04-22,334567890123,Health & Beauty,Personal Care,Lotion,Burt's Bees,Natural,Item,"Natural, Non-Greasy"
PRD567234,food_and_beverage,snacks,nuts,MKT6789,Pennsylvania,"Blue Diamond Organic Almonds 16oz",2024-Q2,2024-06-08,345678901234,Food & Beverage,Snacks,Nuts,Blue Diamond,Organic,SKU,"Organic, Roasted"
PRD890567,household,cleaning,glass_cleaner,MKT9012,Ohio,"Seventh Generation Glass Cleaner 32oz",2024-Q3,2024-08-25,356789012345,Household,Cleaning,Glass Cleaner,Seventh Generation,Natural,Brand,"Natural, Streak-Free"
PRD234890,baby_and_child,baby_food,purees,MKT3456,Georgia,"Plum Organics Sweet Potato Puree 4oz",2024-Q1,2024-05-02,367890123456,Baby & Child,Baby Food,Purees,Plum Organics,Organic,Item,"Organic, Stage 1"
PRD678123,pet_care,dog_food,wet_food,MKT6789,North Carolina,"Purina Pro Plan Canned Dog Food 12pk",2024-Q4,2024-12-08,378901234567,Pet Care,Dog Food,Wet Food,Purina Pro Plan,Premium,SKU,"High Protein, Complete Nutrition"
PRD901234,food_and_beverage,dairy,yogurt,MKT0123,Michigan,"Whole Foods 365 Organic Plain Yogurt 6oz",2024-Q2,2024-07-01,389012345678,Food & Beverage,Dairy,Yogurt,Whole Foods 365,Organic,Item,"Organic, Live Cultures"
PRD345567,food_and_beverage,beverages,tea,MKT4567,New Jersey,"Simply Organic Chamomile Tea 20ct",2024-Q3,2024-09-15,390123456789,Food & Beverage,Beverages,Tea,Simply Organic,Organic,SKU,"Organic, Caffeine-Free"
PRD789890,health_and_beauty,personal_care,shampoo,MKT7890,Virginia,"Kiss My Face Sulfate-Free Shampoo 12oz",2024-Q1,2024-04-18,401234567890,Health & Beauty,Personal Care,Shampoo,Kiss My Face,Natural,Brand,"Natural, Color-Safe"
PRD456123,food_and_beverage,pantry,sauce,MKT1234,Washington,"Amy's Marinara Sauce Organic 24oz",2024-Q2,2024-06-28,412345678901,Food & Beverage,Pantry,Sauce,Amy's,Organic,Item,"Organic, No Added Sugar"
PRD123678,household,cleaning,paper_products,MKT5678,Arizona,"Seventh Generation Toilet Paper 24pk",2024-Q3,2024-08-12,423456789012,Household,Cleaning,Paper Products,Seventh Generation,Natural,SKU,"Recycled, Soft"
PRD567901,baby_and_child,diapers,disposable,MKT8901,Massachusetts,"Honest Company Size 1 Diapers 76ct",2024-Q1,2024-05-25,434567890123,Baby & Child,Diapers,Disposable,Honest Company,Premium,Item,"Hypoallergenic, Wetness Indicator"
PRD890234,pet_care,cat_food,treats,MKT2345,Tennessee,"Blue Buffalo Cat Treats 2oz",2024-Q4,2024-11-22,445678901234,Pet Care,Cat Food,Treats,Blue Buffalo,Premium,SKU,"Natural, Crunchy"
PRD234567,food_and_beverage,dairy,butter,MKT6789,Indiana,"Horizon Grass-Fed Butter 8oz",2024-Q2,2024-07-05,456789012345,Food & Beverage,Dairy,Butter,Horizon,Natural,Brand,"Grass-Fed, Salted"
PRD678890,food_and_beverage,beverages,juice,MKT9012,Missouri,"Nature's Path Apple Juice Organic 32oz",2024-Q3,2024-09-18,467890123456,Food & Beverage,Beverages,Juice,Nature's Path,Organic,Item,"Organic, From Concentrate"
PRD901123,health_and_beauty,oral_care,floss,MKT3456,Maryland,"Jason Dental Floss 55yd",2024-Q1,2024-04-08,478901234567,Health & Beauty,Oral Care,Floss,Jason,Natural,SKU,"Natural, Waxed"
PRD345456,food_and_beverage,snacks,bars,MKT6789,West Coast,"Kind Protein Bar Chocolate 12pk",2024-Q2,2024-06-15,489012345678,Food & Beverage,Snacks,Bars,Kind,Natural,Item,"Natural, 12g Protein"
PRD789567,household,cleaning,floor_cleaner,MKT0123,East Coast,"Method Floor Cleaner 32oz",2024-Q3,2024-08-28,490123456789,Household,Cleaning,Floor Cleaner,Method,Premium,SKU,"Natural, No Residue"
PRD456890,baby_and_child,baby_food,snacks,MKT4567,Southwest,"Earth's Best Teething Biscuits 6oz",2024-Q1,2024-05-12,501234567890,Baby & Child,Baby Food,Snacks,Earth's Best,Organic,Brand,"Organic, Easy to Hold"
PRD123234,pet_care,dog_food,dry_food,MKT7890,Southeast,"Wellness Puppy Food 15lb",2024-Q4,2024-12-20,512345678901,Pet Care,Dog Food,Dry Food,Wellness,Premium,Item,"Premium, DHA for Brain Development"
PRD567345,food_and_beverage,dairy,milk,MKT1234,California,"Stonyfield Oat Milk Original 64oz",2024-Q2,2024-07-22,523456789012,Food & Beverage,Dairy,Milk,Stonyfield,Organic,SKU,"Organic, Creamy"
PRD890678,food_and_beverage,beverages,water,MKT5678,New York,"Simply Organic Sparkling Water Lime 12pk",2024-Q3,2024-09-05,534567890123,Food & Beverage,Beverages,Water,Simply Organic,Natural,Item,"Natural, No Calories"
PRD234901,health_and_beauty,personal_care,body_wash,MKT8901,Texas,"Alba Botanica Exfoliating Body Wash 16oz",2024-Q1,2024-04-25,545678901234,Health & Beauty,Personal Care,Body Wash,Alba Botanica,Natural,SKU,"Natural, Gentle Exfoliation"
PRD678234,food_and_beverage,pantry,oil,MKT2345,Florida,"Bob's Red Mill Extra Virgin Olive Oil 16oz",2024-Q2,2024-06-18,556789012345,Food & Beverage,Pantry,Oil,Bob's Red Mill,Premium,Brand,"Premium, Cold Pressed"
PRD901567,household,cleaning,air_freshener,MKT6789,Illinois,"Mrs. Meyer's Air Freshener 8oz",2024-Q3,2024-08-15,567890123456,Household,Cleaning,Air Freshener,Mrs. Meyer's,Natural,Item,"Natural, Long-Lasting"
PRD345890,baby_and_child,diapers,wipes,MKT9012,Pennsylvania,"Happy Family Sensitive Wipes 192ct",2024-Q1,2024-05-08,578901234567,Baby & Child,Diapers,Wipes,Happy Family,Natural,SKU,"Natural, Gentle Formula"
PRD789123,pet_care,cat_food,wet_food,MKT3456,Ohio,"Merrick Pate Cat Food 24pk",2024-Q4,2024-11-15,589012345678,Pet Care,Cat Food,Wet Food,Merrick,Premium,Item,"Premium, Real Meat"
PRD456456,food_and_beverage,dairy,cheese,MKT6789,Georgia,"Whole Foods 365 Cream Cheese 8oz",2024-Q2,2024-07-08,590123456789,Food & Beverage,Dairy,Cheese,Whole Foods 365,Private Label,SKU,"Creamy, Spreadable"
PRD123789,food_and_beverage,beverages,coffee,MKT0123,North Carolina,"Annie's Espresso Beans 1lb",2024-Q3,2024-09-28,601234567890,Food & Beverage,Beverages,Coffee,Annie's,Organic,Brand,"Organic, Bold Flavor"
PRD567012,health_and_beauty,personal_care,conditioner,MKT4567,Michigan,"Tom's of Maine Leave-In Conditioner 8oz",2024-Q1,2024-04-15,612345678901,Health & Beauty,Personal Care,Conditioner,Tom's of Maine,Natural,Item,"Natural, Detangling"
PRD890345,food_and_beverage,snacks,chips,MKT7890,New Jersey,"Nature's Path Tortilla Chips Blue Corn 9oz",2024-Q2,2024-06-30,623456789012,Food & Beverage,Snacks,Chips,Nature's Path,Organic,SKU,"Organic, Non-GMO Corn"
PRD234678,household,cleaning,laundry,MKT1234,Virginia,"Seventh Generation Fabric Softener 32oz",2024-Q3,2024-08-22,634567890123,Household,Cleaning,Laundry,Seventh Generation,Natural,Item,"Natural, Plant-Based"
PRD678901,baby_and_child,baby_food,purees,MKT5678,Washington,"Honest Company Banana Puree 4oz",2024-Q1,2024-05-18,645678901234,Baby & Child,Baby Food,Purees,Honest Company,Organic,SKU,"Organic, No Artificial Flavors"
PRD901234,pet_care,dog_food,treats,MKT8901,Arizona,"Hill's Dental Chews 28pk",2024-Q4,2024-12-12,656789012345,Pet Care,Dog Food,Treats,Hill's,Premium,Brand,"Premium, Dental Health"
PRD345567,food_and_beverage,dairy,yogurt,MKT2345,Massachusetts,"Nature's Path Probiotic Yogurt Berry 4pk",2024-Q2,2024-07-15,667890123456,Food & Beverage,Dairy,Yogurt,Nature's Path,Organic,Item,"Organic, Live Probiotics"
PRD789890,food_and_beverage,beverages,tea,MKT6789,Tennessee,"Simply Organic Earl Grey Tea 50ct",2024-Q3,2024-09-08,678901234567,Food & Beverage,Beverages,Tea,Simply Organic,Organic,SKU,"Organic, Bergamot Flavor"
PRD456123,health_and_beauty,oral_care,toothpaste,MKT9012,Indiana,"Burt's Bees Whitening Toothpaste 6oz",2024-Q1,2024-04-30,689012345678,Health & Beauty,Oral Care,Toothpaste,Burt's Bees,Natural,Item,"Natural, Gentle Whitening"
PRD123456,food_and_beverage,pantry,pasta,MKT3456,Missouri,"Kashi Whole Wheat Spaghetti 1lb",2024-Q2,2024-06-12,690123456789,Food & Beverage,Pantry,Pasta,Kashi,Natural,SKU,"Whole Grain, High Fiber"
PRD567789,household,cleaning,bathroom_cleaner,MKT6789,Maryland,"Method Bathroom Cleaner 28oz",2024-Q3,2024-08-18,701234567890,Household,Cleaning,Bathroom Cleaner,Method,Premium,Brand,"Premium, Anti-Bacterial"
PRD890012,baby_and_child,diapers,disposable,MKT0123,West Coast,"Babyganics Size 2 Diapers 68ct",2024-Q1,2024-05-05,712345678901,Baby & Child,Diapers,Disposable,Babyganics,Natural,Item,"Natural, Wetness Indicator"
PRD234345,pet_care,cat_food,dry_food,MKT4567,East Coast,"Wellness Indoor Cat Food 14lb",2024-Q4,2024-11-28,723456789012,Pet Care,Cat Food,Dry Food,Wellness,Premium,SKU,"Premium, Indoor Formula"
PRD678678,food_and_beverage,dairy,butter,MKT7890,Southwest,"Annie's Plant-Based Butter 13oz",2024-Q2,2024-07-25,734567890123,Food & Beverage,Dairy,Butter,Annie's,Natural,Item,"Plant-Based, Dairy-Free"
PRD901901,food_and_beverage,beverages,juice,MKT1234,Southeast,"Whole Foods 365 Cranberry Juice 32oz",2024-Q3,2024-09-20,745678901234,Food & Beverage,Beverages,Juice,Whole Foods 365,Private Label,SKU,"Tart, Antioxidant Rich"
PRD345234,health_and_beauty,personal_care,lotion,MKT5678,California,"Kiss My Face Body Lotion Unscented 16oz",2024-Q1,2024-04-08,756789012345,Health & Beauty,Personal Care,Lotion,Kiss My Face,Natural,Brand,"Natural, Fragrance-Free"
PRD789567,food_and_beverage,snacks,crackers,MKT8901,New York,"Bob's Red Mill Rice Crackers 3.5oz",2024-Q2,2024-06-22,767890123456,Food & Beverage,Snacks,Crackers,Bob's Red Mill,Natural,Item,"Whole Grain, Gluten-Free"
PRD456890,household,cleaning,dish_soap,MKT2345,Texas,"Dr. Bronner's Dish Soap 32oz",2024-Q3,2024-08-08,778901234567,Household,Cleaning,Dish Soap,Dr. Bronner's,Natural,SKU,"Natural, Concentrated"
PRD123123,baby_and_child,baby_food,snacks,MKT6789,Florida,"Plum Organics Yogurt Melts 1oz",2024-Q1,2024-05-28,789012345678,Baby & Child,Baby Food,Snacks,Plum Organics,Organic,Item,"Organic, Melt in Mouth"
PRD567456,pet_care,dog_food,wet_food,MKT9012,Illinois,"Blue Buffalo Dog Food Pouches 6pk",2024-Q4,2024-12-05,790123456789,Pet Care,Dog Food,Wet Food,Blue Buffalo,Premium,SKU,"Premium, Real Meat First"
PRD890789,food_and_beverage,dairy,milk,MKT3456,Pennsylvania,"Horizon Coconut Milk 32oz",2024-Q2,2024-07-12,801234567890,Food & Beverage,Dairy,Milk,Horizon,Natural,Brand,"Dairy-Free, Creamy"
PRD234012,food_and_beverage,beverages,water,MKT6789,Ohio,"Nature's Path Alkaline Water 1L",2024-Q3,2024-09-25,812345678901,Food & Beverage,Beverages,Water,Nature's Path,Premium,Item,"Premium, pH Balanced"
PRD678345,health_and_beauty,personal_care,shampoo,MKT0123,Georgia,"Jason Baby Shampoo 8oz",2024-Q1,2024-04-20,823456789012,Health & Beauty,Personal Care,Shampoo,Jason,Natural,SKU,"Natural, Tear-Free"
PRD901678,food_and_beverage,pantry,rice,MKT4567,North Carolina,"Amy's Quinoa 16oz",2024-Q2,2024-06-05,834567890123,Food & Beverage,Pantry,Rice,Amy's,Organic,Item,"Organic, Complete Protein"
PRD345901,household,cleaning,all_purpose,MKT7890,Michigan,"Mrs. Meyer's All-Purpose Cleaner 32oz",2024-Q3,2024-08-30,845678901234,Household,Cleaning,All Purpose,Mrs. Meyer's,Natural,SKU,"Natural, Multi-Surface"
PRD789234,baby_and_child,diapers,wipes,MKT1234,New Jersey,"Earth's Best Hand & Face Wipes 25ct",2024-Q1,2024-05-15,856789012345,Baby & Child,Diapers,Wipes,Earth's Best,Organic,Brand,"Organic, Extra Gentle"
PRD456567,pet_care,cat_food,treats,MKT5678,Virginia,"Merrick Freeze-Dried Treats 2oz",2024-Q4,2024-11-18,867890123456,Pet Care,Cat Food,Treats,Merrick,Premium,Item,"Premium, Single Ingredient"
PRD123890,food_and_beverage,dairy,cheese,MKT8901,Washington,"Stonyfield Mozzarella Shredded 16oz",2024-Q2,2024-07-28,878901234567,Food & Beverage,Dairy,Cheese,Stonyfield,Organic,SKU,"Organic, Perfect for Pizza"
PRD567123,food_and_beverage,beverages,coffee,MKT2345,Arizona,"Simply Organic Decaf Coffee K-Cups 24ct",2024-Q3,2024-09-12,889012345678,Food & Beverage,Beverages,Coffee,Simply Organic,Organic,Item,"Organic, Convenient"
PRD890456,health_and_beauty,oral_care,mouthwash,MKT6789,Massachusetts,"Tom's of Maine Whitening Mouthwash 16oz",2024-Q1,2024-04-12,890123456789,Health & Beauty,Oral Care,Mouthwash,Tom's of Maine,Natural,SKU,"Natural, Gentle Whitening"
PRD234789,food_and_beverage,snacks,nuts,MKT9012,Tennessee,"Blue Diamond Mixed Nuts 12oz",2024-Q2,2024-06-18,901234567890,Food & Beverage,Snacks,Nuts,Blue Diamond,Natural,Brand,"Natural, Protein Rich"
PRD678012,household,cleaning,glass_cleaner,MKT3456,Indiana,"Seventh Generation Window Cleaner 32oz",2024-Q3,2024-08-25,912345678901,Household,Cleaning,Glass Cleaner,Seventh Generation,Natural,Item,"Natural, Ammonia-Free"
PRD901345,baby_and_child,baby_food,purees,MKT6789,Missouri,"Happy Family Carrot Puree 4oz",2024-Q1,2024-05-22,923456789012,Baby & Child,Baby Food,Purees,Happy Family,Organic,SKU,"Organic, Stage 1"
PRD345678,pet_care,dog_food,dry_food,MKT0123,Maryland,"Purina Pro Plan Senior Dog Food 25lb",2024-Q4,2024-12-15,934567890123,Pet Care,Dog Food,Dry Food,Purina Pro Plan,Premium,Item,"Premium, Senior Formula"
PRD789901,food_and_beverage,dairy,yogurt,MKT4567,West Coast,"Whole Foods 365 Coconut Yogurt 5.3oz",2024-Q2,2024-07-08,945678901234,Food & Beverage,Dairy,Yogurt,Whole Foods 365,Private Label,SKU,"Dairy-Free, Probiotic"
